Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Active 	BUS2018-01296	O C URGENT CARE - ANAHEIM 2 	801 S BROOKHURST ST, 45631 	URGENT CARE MEDICAL FACILITY ***OUTSIDE CITY LIMITS*** 
Active 	BUS2018-01297	JULIA MENDOZA 	1026 W ARLINGTON AVE B, 92801 	OFFICE USE ONLY FOR HOUSE CLEANING SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01298	JOHN NGUYEN CONSTRUCTION 	12031 NUTWOOD ST, 45301 	General Building Contractor 
Active 	BUS2018-01299	MY THO HOUSE 	1314 S MAGNOLIA AVE, 92804 	RESTAURANT (LIMITED TO LESS THAN 10 TABLES AND 20 CHAIRS) 
Active 	BUS2018-01300	KIYONNA CLOTHING INC 	1315 N BRASHER ST, 92807 	 
Active 	BUS2018-01301	KIYONNA CLOTHING INC 	1315 N BRASHER ST, 92807 	 
Active 	BUS2018-01302	S V N VANGUARD 	120 W 5TH ST 210, 45574 	PROPERTY MANAGEMENT SERVICES (3 EMPLOYEES) 
Active 	BUS2018-01303	DREAM HOME CONSTRUCTION 	4534 EARLE AVE, 00000 	ARCHITECTURAL DRAFTING SERVICES 
Active 	BUS2018-01304	DYEMOND CARPET CARE 	3090 E FRONTERA ST 203, 92806 	HOME OFFICE FOR OFF-SITE CLEANING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01305	BRAND GRAPHIC SOLUTIONS 	5914 E CAMINO MANZANO, 92807 	OFFICE USE ONLY FOR OFF-SITE GRAPHICS PRINTING, SMALL SIGN FABRICATION AND DIGITAL WALL COVERING (NO EMPLOYEES) 
Active 	BUS2018-01306	COLDEA PRODUCTIONS 	1250 N LAKEVIEW AVE D, 92807 	OFFICE USE ONLY FOR VIDEO PRODUCTION SERVICES, VIDEO EDITING AND PHOTO EDITING ( NO EMPLOYEES) 
Active 	BUS2018-01307	EXPEDIENT SOLUTIONS INC 	3301 E MIRALOMA AVE 189, 92806 	WAREHOUSE AND ADMINISTRATIVE OFFICE FOR ON-LINE SALES  
Active 	BUS2018-01308	ARCH 360 GROUP 	1250 N LAKEVIEW AVE D, 92807 	OFFICE USE ONLY RECRUITING CONSULTING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01309	EASY CAR SHIPPING 	1250 N LAKEVIEW AVE D, 92807 	OFFICE USE ONLY FOR LOGISTICS BROKERAGE FOR ARRANGING TRANSPORT FOR AUTOS NATIONWIDE (NO EMPLOYEES) 
Active 	BUS2018-01310	I WIRE ELECTRIC 	4640 FEATHER RIVER RD, 97346 	Electrical Contractor 
Active 	BUS2018-01311	PRIMEPAL 	398 S SILVERBROOK DR, 92807 	OFFICE USE ONLY FOR ECOMMERCE/ONLINE RETAIL SALES 
Active 	BUS2018-01312	B V I SOLAR 	822 SAN JUAN PL 1, 95710 	Solar Contractor 
Active 	BUS2018-01313	THE ROWRY AGENCY INC 	2211 E ORANGEWOOD AVE 453,  	OFFICE USE ONLY FOR GRAPHIC AND WED DESIGN SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01314	STONEKASTLE COMMUNITY MANAGEMENT IN 	181 S OLD SPRINGS RD, 92808 	PROPERTY MANAGEMENT SERVICES 
Active 	BUS2018-01315	B & P SERVICES INC 	771 NEWTON WAY, 47540 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2018-01316	TANGO CRAFTS 	5114 E TANGO CIR, 92807 	HOME OFFICE FOR SELLING HOMEMADE GOODS ONLINE AND AT CRAFT FAIRS 
Active 	BUS2018-01317	MIRAGE WINDSHIELD REPAIR 	1234 S DALE AVE 117, 92804 	HOME OFFICE USE FOR WINDSHIELD REPAIR SERVICES 
Active 	BUS2018-01318	PEREZ TREE SERVICE 	1949 S MANCHESTER AVE 100, 92802 	ADMINISTRATIVE OFFICE FOR TREE TRIMMING SERVICES (1 EMPLOYEE)  
Active 	BUS2018-01319	INSURANCE4U SERVICES  	520 N BROOKHURST ST 134, 92801 	INSURANCE BROKER (CAL. ST. LIC #OF65530) (NO EMPLOYEES) 
Active 	BUS2018-01320	INS4U REGISTRATION SERVICES  	520 N BROOKHURST ST 134, 92801 	DMV REGISTRATION SERVICES  
Active 	BUS2018-01321	SIMONE PERONT 	570 S GILBUCK DR, 92802 	OFFICE USE ONLY FOR DROP SHIPPING ONLINE WITH EBAY 
Active 	BUS2018-01322	A A T US 	151 ORANGEFAIR AVE 101, 45788 	PROFESSIONAL CONSULTING A LEGAL REPRESENTATION ***USING ANAHEIM ADDRESS FOR MAILING PURPOSES*** 
Active 	BUS2018-01323	CARDINE TIRES 	1675 W MELLS LN, 92802 	OFFICE USE ONLY FOR OFF-SITE AND ONLINE SALES OF TIRES (NO EMPLOYEES)***************PPA******************* 
Active 	BUS2018-01324	MARYS HOUSE CLEANING 	3743 ELLIS ST, 97346 	GENERAL HOUSE CLEANING 
Active 	BUS2018-01325	J & J ELECTRONIC 	1440 S ANAHEIM BLVD A25, 92805 	RETAIL SALE OF ELECTRONIC ITEMS 
Active 	BUS2018-01326	WILLIAS PAINTING & DECKING  	1009 S HARBOR BLVD, 92805 	HOME OFFICE FOR PAINTING 
Active 	BUS2018-01327	MEJIA ELECTRIC SERVICE 	13062 CYPRESS ST 11, 45301 	Electrical Contractor 
Active 	BUS2018-01328	HANSEN VTF LABS LLC 	1555 W BROADWAY, 92802 	VEHICLE TEST FIT LAB 
Active 	BUS2018-01329	ANNA TSIRTSIS 	5564 E SANTA ANA CANYON RD, 92807 	INDEPENDENT HAIR STYLIST  
Active 	BUS2018-01330	AUBREE MARTIN 	5564 E SANTA ANA CANYON RD, 92807 	INDEPENDENT HAIR STYLIST 
Received 	BUS2018-01332	LUIS ANTHONY ICE CREAM 	13792 A BETTER WAY, 45301 	ICE CREAM TRUCK OPERATOR (1 VEHICLES) PENDING PD APPROVAL 2-9-2019 
Active 	BUS2018-01331	SLIM PROGRAM USA INC 	1715 W ROMNEYA DR, 92801 	OFFICE USE FOR BEAUTY CONSULTATION WITH SALES OF BEAUTY PRODUCTS (NO EMPLOYEES) (SUBLEASE) 
Active 	BUS2018-01333	MAGNOLIA LANDSCAPE 	10221 YANA DR, 48986 	GARDEN MAINTENANCE AND SPRINKLER REPAIR 
Active 	BUS2018-01334	AGERA TOBACCO INC  	720 N VALLEY ST N, 92801 	WAREHOUSING,WHOLESALE, MANUFACTURING OF HOOKAH TOBACCO AND RELATED HOOKAH ACCESSORIES 
Active 	BUS2018-01335	STUDENT ON TIME LLC 	533 E WATER ST N,  	HOME OFFICE USE FOR DISPATCH OF DRIVERS TO ROUTES NEEDED 
Active 	BUS2018-01336	ORANGE COUNTY CARPET CLEANING 	2555 W HEFFRON DR, 92804 	OFFICE USE ONLY FOR OFF-SITE CARPET, TILE AND GROUT CLEANING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01337	DECADES BAR AND GRILL 	195 W CENTER STREET PROMENADE, 92805 	RESTAURANT/ BAR (NO ENTERTAINMENT DEVICES) 
Active 	BUS2018-01338	MIRADA LLC 	6922 HOLLYWOOD BLVD 10TH FL, 33844 	FILMING TV COMMERCIAL AT ARTIC ON KATELLA 
Active 	BUS2018-01339	DECADES BAR AND GRILL 	195 W CENTER STREET PROMENADE, 92805 	DINNER DANCE 
Active 	BUS2018-01340	ADVANCED GENOMICS RESEARCH INC 	1020 S ANAHEIM BLVD 101, 92805 	HEALTH CARE CLINIC 
Active 	BUS2018-01341	OC SUPPLY 	200 N CRESCENT WAY C, 92801 	WHOLESALE AND WAREHOUSING OF TABACCO ACCESSORIES (MARIJUANA PROHIBITED) 
Active 	BUS2018-01342	ARTISTRY NAILS AND SPA 	3002 W LINCOLN AVE, 92804 	NAILS AND EYEBROW WAXING (NO EMPLOYEES / NO MASSAGE) (ST LIC# Z50758 & M227944) ( NO EMPLOYEES)  
Active 	BUS2018-01343	KESSLER & WILLIAMS 	121 N STATE COLLEGE BLVD 14, 92805 	FINANCIAL ADVISING, DEBT CONSULTANTS & ACCOUNTS RECEIVABLE **NO EMPLOYEES/INDEPENDENTS** 
Active 	BUS2018-01344	PRECISION AIR HEATING AND AIR CONDI 	4007 AGNES AVE, 06396 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2018-01345	YOUR YARDAGE BOOK 	2728 W YALE AVE 3, 92801 	OFFICE USE ONLY FOR ON-LINE RETAIL SALES OF GOLF PRODUCTS 
Active 	BUS2018-01346	DR ANITA ENTERPRISES INC 	1161 S LARAMIE ST, 92806 	OFFICE USE ONLY FOR FOR OFF-SITE CONSULTING IN EXECUTIVE COACHING, TEAM FACILITATION AND ORAGANIZATIONAL DEVELOPMENT (NO EMPLOYEES) 
Active 	BUS2018-01347	FIESTA TACO 	1500 E CERRITOS AVE, 92805 	FOOD TRUCK (NO STREET VENDING / PRIVATE EVENTS ONLY) 
Active 	BUS2018-01348	PREMIER SIGN SERVICE INC 	2985 DURAHART ST, 93590 	Electrical Sign Contractor 
Active 	BUS2018-01349	GABES AUTO DETAIL 	1501 W ELM AVE, 92802 	OFFICE USE FOR OFF SITE MOBILE CAR WASH SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01350	TAJ CATERING SERVICES 	2505 EL CAMINO REAL, 45418 	FOOD CATERING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01351	HOUSE OF DOLLS SALON (DOAN, CHLOE) 	548 S ANAHEIM BLVD, 92805 	INDEPENDENT COSMETOLOGIST - DOAN, CHLOE MINH CHAU (LIC # KK520499) 
Active 	BUS2018-01352	PARTY PARTY INC 	5640 E LA PALMA AVE, 92807 	RETAIL SALES OF PARTY SUPPLIES 
Active 	BUS2018-01353	QUANTUM ALLOYS USA 	165 E FREEDOM AVE, 92801 	WHOLESALE & DISTRIBUTION OF CUSTOM ALLOY WHEELS AND ACCESSORIES 
Finaled 	BUS2018-01354	EBIO IMAGING LLC 	3071 E LA JOLLA ST B, 92806 	STORAGE OF X-RAY MACHINES (NO EMPLOYEES) 
Active 	BUS2018-01355	EBIO IMAGING LLC 	3034 E LA PALMA AVE, 92806 	X-RAY MACHINE REPAIR SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01356	CURTIS CONSTRUCTION SERVICES 	321 N PASS AVE 109, 88425 	General Building Contractor 
Active 	BUS2018-01357	TWO MAIDS & A MOP, NORTH ORANGE COU 	5140 E LA PALMA AVE 104, 92807 	ADMINISTRATIVE OFFICE FOR RESIDENTIAL HOUSEKEEPING SERVICES (3 EMPLOYEES) 
Active 	BUS2018-01358	GARY RICHARD JOHNSON TRUST 	2136-2142 S EUCLID ST, 92802 	APARTMENT BUILDING OPERATOR TWO TRI PLEXES (6 UNITS) 
Active 	BUS2018-01359	QUIROZ ELECTRICAL SERVICING CONTRAC 	451 W 47TH PL, 33844 	Electrical Contractor 
Active 	BUS2018-01360	HUMMOS AND PITA INC 	131 W CENTER STREET PROM, 92805 	MEDITERRANEAN FOOD 
Active 	BUS2018-01361	GLOBAL MEDIA AND IT  	2121 W CRESCENT AVE E, 92801 	NON PROFIT ORGANIZATION -RELIGIOUS SERVICES & PRAISE TRAINING 
Active 	BUS2018-01362	COVA FILMS 	1608 E REDWOOD AVE, 92805 	OFFICE USE ONLY FOR OFF-SITE VIDEOGRAPHY SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01363	LATITUDE 33 HAIR ARTISTRY(TERRANOVA 	416 S ANAHEIM HILLS RD, 92807 	INDEPENDENT STYLIST (TERRANOVA) LIC # KK463210 
Active 	BUS2018-01364	VAN HOA VIET TOURISM 	5933 E CAMINO MANZANO, 92807 	OFFICE USE FOR TRAVEL AGENCY (NO EMPLOYEES) 
Active 	BUS2018-01365	GOLDEN STATE GLAZING INC 	42951 E FLORIDA AVE., 99272 	Glazing Contractor 
Finaled 	BUS2018-01366	ST JOHN THE BAPTIST GREEK ORTHODOX  	405 N DALE AVE, 35981 	CARNIVAL EVENT MAY 18-20 AT ST. JOHN THE BAPTIST GREEK ORTHODOX (SEP2018-00015 3 DAYS & 12 OUTSIDE VENDORS) 
Active 	BUS2018-01367	COMERCIALIZADORA GASAROVM 	1035 N ARMANDO ST A, 92806 	WAREHOUSE AND DISTRIBUTION OF SEED PEPPERS (INDOORS ONLY) 
Active 	BUS2018-01368	DAY SPA SALON 	740 N BROOKHURST ST, 92801 	BEAUTY SALON OPERATOR **NO MASSAGE THERAPY PERMITED** 
Active 	BUS2018-01369	DAY SPA SALON (DANG) 	740 N BROOKHURST ST, 92801 	INDEPENDENT MANICURIST - DANG, THU THI LIC #138437 
Active 	BUS2018-01370	ORLOMES CLEANING CO 	1020 N MAGNOLIA AVE 108, 92801 	home office use for office and house cleaning services 
Active 	BUS2018-01371	DAY SPA SALON (HA) 	740 N BROOKHURST ST, 92801 	INDEPENDENT MANICURIST - LE, HA LIC #M191082 
Active 	BUS2018-01372	DAY SPA SALON (VO) 	740 N BROOKHURST ST, 92801 	INDEPENDENT COSMETOLOGIST - VO, MY LIC #KK557792 
Active 	BUS2018-01373	CRISTIS RESTAURANT 	821 S BEACH BLVD, 92804 	RESTAURANT 
Active 	BUS2018-01374	R G SERVICES 	200 N HARBOR BLVD 105, 92805 	OFFICE USE FOR NOTARY PUBLIC, TAX PREPARATION SERVICES & IMMIGRATION CONSULTANT SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01375	L J'S PLUMBING 	14141 DENISE DR, 48938 	Plumbing Contractor 
Active 	BUS2018-01376	NOVOQUAD INC 	5150 E LA PALMA AVE 210, 92807 	WAREHOUSING, WHOLESALING, AND TRADING OF ELECTRIONIC PARTS 
Active 	BUS2018-01377	AAA ACTION BACKFLOW 	9040 ALIMOS RD, 92474 	BACKFLOW DEVICE TESTING, REPAIR AND INSTALLATION  
Active 	BUS2018-01378	V X B BEARINGS 	1055 N SHEPARD ST, 92806 	(GR REPORTED ON BUS2018-01379 RENEWALS COME TOGETHER) WAREHOUSING, MANUFACTURING AND ASSEMBLY OF MECHANICAL PARTS  
Active 	BUS2018-01379	NATIONSKANDER CALIFORNIA CORP 	2165 S DUPONT DR D,E,F,G, 92806 	(GR INCLUDES BUS2018-01378 & 01380 RENEWALS COME TOGETHER) WAREHOUSING, MANUFACTURING AND ASSEMBLY OF MECHANICAL PARTS  
Active 	BUS2018-01380	SAWIRIS.COM BEARINGS 	1245 N PATT ST, 92801 	(GR REPORTED ON BUS2018-01379 RENEWALS COME TOGETHER) WAREHOUSING, MANUFACTURING AND ASSEMBLY OF MECHANICAL PARTS  
Active 	BUS2018-01381	MOBILITY PHYSICAL THERAPY 	751 S KROEGER ST, 92805 	OFFICE USE ONLY FOR OFF-SITE PROFESSIONAL PHYSICAL THERAPY (NO EMPLOYEES) 
Finaled 	BUS2018-01382	CHASING AFTER YOU PRODUCTIONS LLC 	644 N FULLER AVE 309, 33844 	FILM PRODUCTION SERVICES MAY 7, 2018 AT 1045 N ARMANDO ST STE B (22 CAST MEMBERS)  
Active 	BUS2018-01383	ACCURATE PLUMBING AND DRAINS 	2661 W CERRITOS AVE, 45631 	Plumbing Contractor 
Active 	BUS2018-01384	PRIENCETON PATTALITAN 	12291 LORNA ST, 45301 	CAREGIVING SERVCES (NO EMPLOYEES) 
Active 	BUS2018-01385	REC SOLAR COMMERCIAL CORPORATION 	3450 BROAD ST 105, 55432 	General Engineering Contractor 
Received 	BUS2018-01386	SIMPLE HEAD LICE SOLUTIONS SAN CLEM 	1720 W BALL RD 3C, 92804 	LICE REMOVAL SERVICES & RETAIL (1 EMPLOYEE) ( NOT STATE LICENSED) 
Active 	BUS2018-01387	AAA NETWORK SOLUTIONS INC 	8401 PAGE ST, 49945 	ELECTRICAL CONTRACTOR 
Active 	BUS2018-01388	BASTION SECURITY INC 	15618 SW 72ND AVE, 36670 	VIDEO SECURITY MONITORING ACO #7637 
Active 	BUS2018-01389	WORKERS COMPENSATION SOUTHERN CALIF 	2400 E KATELLA AVE 800, 92806 	WORKERS COMPENSATION LAW PRACTICE 
Active 	BUS2018-01390	CALI LAUNDRY 	2435 W BALL RD, 92804 	LAUNDROMAT (51 WASHERS AND 27 DRYERS, 78 TOTAL NUMBER OF MACHINES) 
Active 	BUS2018-01391	B J DENTAL LABORATORY 	3301 E MIRALOMA AVE 190, 92806 	DENTAL LABORATORY (NO EMPLOYEES)  
Active 	BUS2018-01392	EIDIM A V TECHNOLOGY 	6905 OSLO CIR J, 49945 	General Building Contractor 
Active 	BUS2018-01393	MEDICAL SCIENCES LABORATORY INC 	1712 W MEDICAL CENTER DR, 92801 	MEDICAL BLOOD DRAW STATION (1 EMPLOYEE) 
Active 	BUS2018-01394	J AND M PAINT AND MAINTENANCE 	708 N OLIVE ST, 92805 	OFFICE USE ONLY FOR OFF-SITE PAINT AND MAINTENANCE SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01395	GEXPRO 	2099 S STATE COLLEGE BLVD 200, 92806 	WHOLESALE DISTRIBUTION OF ELECTRONIC AND DATA COM PRODUCTS 
Active 	BUS2018-01396	PURPOSE PLUMBING INC 	1429 VIA CORTEZ, 45723 	Plumbing Contractor 
Active 	BUS2018-01397	CONSULTING GLOBALLY 	8259 E BLACKWILLOW CIR 206, 92808 	OFFICE USE ONLY FOR BUSINESS CONSULTING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01398	MATT FORBES MEDIA 	2100 E KATELLA AVE 419, 92806 	OFFICE USE ONLY FOR VIDEO PRODUCTION SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01399	REHMAN AUTO SALES INC 	426 S COUNTRY HILL RD, 92808 	OFFICE USE FOR WHOLESALE AUTO SALES (REG2018-00024) 
Active 	BUS2018-01400	CRYPTO COIN GROWTH LLC 	237 N EUCLID ST D,  	COMPUTER IT SERVICES ***NO ON-SITE RETAIL / NO EMPLOYEES*** 
Active 	BUS2018-01401	SMILE HAIR & NAILS 	1927 E LINCOLN AVE, 92805 	HAIR AND NAIL SALON (NO EMPLOYEES) 
Active 	BUS2018-01402	NRGY DANCE STUDIO 	740 N ANAHEIM BLVD B, 92805 	DANCE AND FITNESS STUDIO (NO EMPLOYEES) 
Active 	BUS2018-01403	LEGEND MAKERS 	3569 W CORNELIA CIR A, 92804 	OFFICE USE ONLY FOR GRAPHIC DESIGN SERVICES 
Active 	BUS2018-01404	FREEDOM FOREVER LLC 	31932 GLOXINIA WAY, 42456 	General Building Contractor 
Active 	BUS2018-01405	PADILLA S CLEANING SERVICES  	710 W BELLEVUE DR 4, 92805 	OFFICE USE ONLY FOR CLEANING SERVICES FOR RESTAURANTS (2 EMPLOYEES) 
Active 	BUS2018-01406	OVERHEAD DOOR COMPANY OF SOUTHERN C 	8260 MIRALANI DR, 95710 	Doors, Gates and Activating Devices 
Active 	BUS2018-01407	EXCEL PROPERTY MANAGEMENT SERVICES  	9034 W SUNSET BLVD, 06578 	COMMERCIAL PROPERTY MANAGEMENT 
Active 	BUS2018-01408	MARK ADAMSON 	14196 UXBRIDGE ST, 48938 	Swimming Pool Contractor 
Finaled 	BUS2018-01409	PACIFIC CREST ELECTRIC 	1706 W OCEANFRONT, 47234 	Electrical Contractor 
Finaled 	BUS2018-01410	JON CALIFF 	369 HARWOOD ST, 45498 	ARCHITECTURAL SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01411	BB ARCHITECTS INC 	1590 S COAST HWY 18, 43769 	ARCHITECTURAL DESIGN & PLANNING SERVICES 
Active 	BUS2018-01412	RICARDO S HAIR DESIGNS INC (FAIRRIN 	5564 E SANTA ANA CANYON RD, 92807 	INDEPENDENT COSMETOLOGIST - FAIRRINGTON, LINDSEY LIC #483094 
Active 	BUS2018-01413	JICS AUTO DETAIL 	1728 W BALL RD 10, 92804 	OFFICE USE ONLY FOR OFF-SITE MOBILE DETAILING (NO EMPLOYEES) 
Active 	BUS2018-01414	E C ROOFING AND REPAIR 	349 E MARKET ST, 05496 	Roofing Contractor 
Active 	BUS2018-01415	AMERICAN ENGLISH IRAPUATO 	1671 W KATELLA AVE 105, 92802 	OFFICE USE ONLY FOR ENGLISH COURSES ONLINE (SUBLEASE) (NO EMPLOYEES) 
Active 	BUS2018-01416	VC BROKER 	1671 W KATELLA AVE 105, 92802 	OFFICE USE ONLY FOR REAL ESTATE SERVICES (SUBLEASE) (NO EMPLOYEES) 
Active 	BUS2018-01417	TELECOMPREHENSIVE SOLUTIONS 	5815 E LA PALMA AVE 65, 92807 	OFFICE USE ONLY FOR TELECOM & AND TECHNOLOGY CONSULTING/BROKER WITH EQUIPMENT SALES (NO EMPLOYEES) 
Active 	BUS2018-01418	AVX SEALS CORPORATION  	1055 N SHEPARD ST, 92806 	WHOLESALE OF OIL SEALS AND ON-LINE RETAIL SALES 
Active 	BUS2018-01419	MANLEYS BOILER LLC 	7931 WHITAKER ST, 49945 	Boiler, Hot Water Heating and Steam Fitting 
Finaled 	BUS2018-01420	GUADAGNO AND SONS AMUSEMENTS & G & 	12842 VALLEY VIEW ST 103, 45301 	3 DAY CARNIVAL AT ST JUSTIN MARTYR 2050 W BALL RD. JUNE 8-10, 2018 12 RIDES, 6 GAMES **SEP2018-00047** 
Active 	BUS2018-01421	TOMII HEALING & WELLNESS (GUO) 	120 N TUSTIN AVE, 92807 	CERTIFIED MASSAGE THERAPIST - GUO, PING (CAMTC LIC# 47142 EXP 8/22/2019) 
Active 	BUS2018-01422	SPOTLIGHT EVENTS 	8465 W SAHARA AVE,  	PHOTOGRAPHY SERVICES (2 EMPLOYEES) 
Active 	BUS2018-01423	NGOC HAN INVESTMENT INC 	135 W BALL RD F, 92805 	WIC STORE AND FOOD MARKET RETAILING 
Received 	BUS2018-01424	SAND SCRIPT GRAPHICS LLC 	999 S FIREFLY DR, 92808 	OFFICE USE ONLY FOR GRAPHIC DESIGN SERVICES  
Active 	BUS2018-01425	KZ MILLER CONSTRUCTION INC 	3180 UNIVERSITY AVE 430, 95710 	General Building Contractor 
Active 	BUS2018-01426	KERSHAW PROPERTIES 	1125 E STANFORD CT, 92805 	NON-RESIDENTIAL BUILDING OWNER (SQ FT 8032) 
Active 	BUS2018-01427	THE FLAME BROILER TRBK 	751 S WEIR CANYON RD 161, 92808 	FAST FOOD RESTAURANT 
Active 	BUS2018-01428	COTTONWOOD PSYCHOLOGY CENTER INC 	5500 E SANTA ANA CANYON RD 261, 92807 	PSYCHOLOGY CLINIC MATERNAL MENTAL HEALTH 
Active 	BUS2018-01429	CLOUD 9 DEALS LLC 	1521 W HARLE PL, 92802 	OFFICE USE FOR ONLINE RETAIL SALES OF GENERAL MERCHANDISE 
Active 	BUS2018-01430	CALPROMAX ENGINEERING INC 	650 N ROSE DR 186, 45723 	General Engineering Contractor 
Active 	BUS2018-01431	THE KUKMIN DAILY USA INC 	730 N EUCLID ST, 92801 	OFFICE USE ONLY FOR ONLINE MEDIA 
Active 	BUS2018-01432	ED FINKBEINER CONSTRUCTION 	280 VIEJO ST, 43769 	General Building Contractor 
Active 	BUS2018-01433	KEYFORLESS LOCKSMITH 	2100 E KATELLA AVE 262, 92806 	MOBILE LOCKSMITH SERVICES (HOME OFFICE, NO EMPLOYEES) 
Active 	BUS2018-01434	SO SWEET COOKIE COMPANY 	7075 E COUNTRY CLUB LN, 92807 	OFFICE USE ONLY FOR OFF-SITE SALES OF CUSTOM DECORATED COOKIES 
Active 	BUS2018-01435	HIPOWERLEDUSA INC 	155 E LIBERTY AVE H, 92801 	ADMINISTRATIVE OFFICE & WAREHOUSE 
Received 	BUS2018-01436	CVS/PHARMACY #17730 	2222 E LINCOLN AVE, 92806 	RETAIL PHARMACY (INSIDE TARGET) 
Active 	BUS2018-01437	AFCO ELECTRIC INC 	23217 MINERS RD, 46741 	General Building Contractor 
Active 	BUS2018-01438	MI LONCHERITA 	2649 W FIRST ST, 45574 	MOBILE CATERING TRUCK (NO STREET VENDING - PRIVATE EVENTS ONLY) 
Received 	BUS2018-01439	COAST EMS LLC 	2885 E LA PALMA AVE, 92806 	WHOLESALE MEDICAL SUPPLIES AND INDUSTRIAL SAFETY 
Active 	BUS2018-01440	MAXWELL MCCANN, P.E. 	1541 W AMERIGE, 45788 	CIVIL ENGINEER  
Active 	BUS2018-01441	CENTRAL CAPITAL GROUP INC 	2934 HILLTOP MALL RD 126, 49688 	General Building Contractor 
Active 	BUS2018-01442	OC SCREEN PRINT INC 	960 E ORANGETHORPE AVE F, 92801 	APPAREL SCREEN PRINTING 
Active 	BUS2018-01443	A J M CONSTRUCTION 	7832 DAVMOR AVE, 48986 	Drywall Contractor 
Active 	BUS2018-01444	REPUBLIC MANAGEMENT LLC 	1146 W FAY LN, 92805 	APARTMENT COMPLEX (10 UNITS) 
Active 	BUS2018-01445	CONTINENTAL PACIFIC REALTY 	121 N STATE COLLEGE BLVD 4, 92805 	REAL ESTATE OFFICE (3 EMPLOYEES) 
Active 	BUS2018-01446	IRONWOOD ELECTRIC LLC 	1239 N TUSTIN AVE, 92807 	ELECTRICAL CONTRACTOR 
Active 	BUS2018-01447	J R LENNEN CONSTRUCTION INC 	73605 DINAH SHORE DR 1330, 93460 	General Building Contractor 
Received 	BUS2018-01448	CITY SMOG AUTO REPAIR 	1287 N JEFFERSON ST C, 92807 	GENERAL AUTOMOTIVE REPAIR AND SMOG 
Active 	BUS2018-01450	BP LUBRICANTS USA INC 	501 WESTLAKE PARK BLVD, 46349 	WHOLESALE MARKETTER OF LUBRICANT PRODUCTS 
Active 	BUS2018-01451	OOLALAPLACE LLC 	8710 E BANNER RIDGE DR, 92808 	HOME OFFICE USE FOR ONLINE SALES 
Active 	BUS2018-01449	DOYLE PROPERTIES LLC 	1250 N TUSTIN AVE, 92807 	NON RESIDENTIAL BUILDING OPERATOR 
Active 	BUS2018-01452	DARLING NAILS (NGUYEN, CHUNG THI KI 	6507 E SERRANO AVE C, 92807 	INDEPENDENT MANICURIST (NGUYEN, CHUNG THI KIM) LIC# M321646 
Active 	BUS2018-01453	GRIT CYCLE 	5645 E LA PALMA AVE 160, 92807 	INDOOR CYCLING/ STUDIO FITNESS CLASSES (10 EMPLOYEES) 
Active 	BUS2018-01454	BETHESDA UNIVERSITY 	730 N EUCLID ST 101, 92801 	RELIGIOUS SCHOOL 
Finaled 	BUS2018-01455	DESIGN ELEMENT 	30262 CROWN VALLEY PKWY 192, 93642 	DRAFTING, PLANNNING, INTERIOR DESIGN SERVICES 
Finaled 	BUS2018-01456	WILLIAMSON CHAVEZ DESIGN 	2740 RIBERA RD, 86426 	ENGINEER 
Received 	BUS2018-01457	KELLY CLUBB CONSULTING  	1224 N BIG SPRING ST, 92807 	OFFICE USE ONLY FOR BOOKKEEPING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01458	BRENT W EIDELMAN 	1811 W KATELLA AVE, 92804 	NON-RESIDENTIAL BUILDING OWNER 
Active 	BUS2018-01459	HYDROTECH ELECTRIC 	8706 UTICA AVE, 49413 	Electrical Contractor 
Active 	BUS2018-01460	TALT KING OF SPAIN APARTMENTS 	2230 E BALL RD, 92806 	APARTMENT BUILDING - 104 UNITS 
Active 	BUS2018-01461	INFINITI MARKETING GROUP 	729 S MAC DUFF ST, 92804 	OFFICE USE ONLY FOR DIGITAL MARKETING, WEBSITE DESIGN, BRANDING, APPLICATION DEVELOPMENT (NO EMPLOYEES) 
Active 	BUS2018-01462	AIR DESIGN SOLUTIONS 	403 S MONTEBELLO BLVD, 37219 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2018-01463	PACIFIC SPECIALTY INSURANCE COMPANY 	5515 E LA PALMA AVE, 92807 	INSURANCE COMPANY 
Active 	BUS2018-01464	MC GRAW INSURANCE SERVICES 	5515 E LA PALMA AVE, 92807 	INSURANCE SERVICES 
